agent,seed,episode,timestep,reward
DQN (ours),52,1,14,1.2766
DQN (ours),52,2,28,1.7672
DQN (ours),52,3,42,2.3975
DQN (ours),52,4,56,3.8512
DQN (ours),52,5,84,5.5896
DQN (ours),52,6,112,6.0489
DQN (ours),52,7,112,7.3586
DQN (ours),52,8,126,1.6001
DQN (ours),52,9,154,1.9602
DQN (ours),52,10,154,4.9992
DQN (ours),52,11,168,7.8068
DQN (ours),52,12,182,11.9602
DQN (ours),52,13,238,3.5673
DQN (ours),52,14,280,15.7285
DQN (ours),52,15,308,3.2023
DQN (ours),52,16,336,14.8435
DQN (ours),52,17,336,10.8527
DQN (ours),52,18,378,22.1211
DQN (ours),52,19,378,1.9602
DQN (ours),52,20,406,20.9763
DQN (ours),52,21,406,20.8296
DQN (ours),52,22,406,20.5398
DQN (ours),52,23,406,20.4545
DQN (ours),52,24,406,6.5011
DQN (ours),52,25,406,21.1708
DQN (ours),52,26,420,6.5954
DQN (ours),52,27,462,2.3989
DQN (ours),52,28,476,3.2005
DQN (ours),52,29,518,21.6507
DQN (ours),52,30,532,7.0154
DQN (ours),52,31,532,22.9854
DQN (ours),52,32,574,20.9671
DQN (ours),52,33,574,10.6879
DQN (ours),52,34,588,10.3634
DQN (ours),52,35,602,4.0455
DQN (ours),52,36,602,1.1211
DQN (ours),52,37,602,20.8648
DQN (ours),52,38,630,0.9660
DQN (ours),52,39,658,13.9746
DQN (ours),52,40,686,17.3962
DQN (ours),52,41,714,6.3043
DQN (ours),52,42,728,3.3653
DQN (ours),52,43,756,1.9584
DQN (ours),52,44,756,22.6423
DQN (ours),52,45,798,20.8103
DQN (ours),52,46,812,12.5195
DQN (ours),52,47,826,22.8848
DQN (ours),52,48,854,4.8140
DQN (ours),52,49,882,12.9794
DQN (ours),52,50,882,22.7048
DQN (ours),52,51,896,21.1738
DQN (ours),52,52,910,11.1706
DQN (ours),52,53,910,5.5261
DQN (ours),52,54,924,5.5912
DQN (ours),52,55,924,6.9537
DQN (ours),52,56,938,10.1791
DQN (ours),52,57,938,9.0251
DQN (ours),52,58,952,2.5965
DQN (ours),52,59,952,24.3939
DQN (ours),52,60,952,21.7971
DQN (ours),52,61,966,2.9553
DQN (ours),52,62,994,21.2069
DQN (ours),52,63,1022,1.0509
DQN (ours),52,64,1022,20.8876
DQN (ours),52,65,1022,3.4002
DQN (ours),52,66,1036,6.4010
DQN (ours),52,67,1050,6.9537
DQN (ours),52,68,1050,9.0472
DQN (ours),52,69,1050,6.1248
DQN (ours),52,70,1092,3.3168
DQN (ours),52,71,1092,7.9876
DQN (ours),52,72,1120,4.7561
DQN (ours),52,73,1148,11.1961
DQN (ours),52,74,1162,7.1953
DQN (ours),52,75,1204,9.5539
DQN (ours),52,76,1204,2.2988
DQN (ours),52,77,1232,16.4490
DQN (ours),52,78,1232,6.1364
DQN (ours),52,79,1260,5.9551
DQN (ours),52,80,1260,18.7236
DQN (ours),52,81,1260,2.5991
DQN (ours),52,82,1274,21.4874
DQN (ours),52,83,1288,13.4715
DQN (ours),52,84,1302,21.5537
DQN (ours),52,85,1316,3.8512
DQN (ours),52,86,1330,2.5683
DQN (ours),52,87,1344,14.5198
DQN (ours),52,88,1344,23.9647
DQN (ours),52,89,1358,5.9590
DQN (ours),52,90,1372,6.2055
DQN (ours),52,91,1428,4.5931
DQN (ours),52,92,1428,20.3536
DQN (ours),52,93,1428,3.0500
DQN (ours),52,94,1442,21.7312
DQN (ours),52,95,1442,6.7602
DQN (ours),52,96,1442,9.1232
DQN (ours),52,97,1456,4.5273
DQN (ours),52,98,1470,2.2774
DQN (ours),52,99,1498,2.7925
DQN (ours),52,100,1512,1.5982
DQN (ours),52,101,1512,22.1589
DQN (ours),52,102,1540,4.0826
DQN (ours),52,103,1554,6.5643
DQN (ours),52,104,1582,6.4513
DQN (ours),52,105,1596,18.9786
DQN (ours),52,106,1624,6.8754
DQN (ours),52,107,1624,24.9029
DQN (ours),52,108,1652,20.6910
DQN (ours),52,109,1652,2.7595
DQN (ours),52,110,1666,8.9674
DQN (ours),52,111,1694,2.8444
DQN (ours),52,112,1708,12.4080
DQN (ours),52,113,1708,4.9514
DQN (ours),52,114,1722,20.8854
DQN (ours),52,115,1722,3.9556
DQN (ours),52,116,1736,3.5625
DQN (ours),52,117,1736,3.8466
DQN (ours),52,118,1736,20.4581
DQN (ours),52,119,1750,1.7840
DQN (ours),52,120,1750,21.0041
DQN (ours),52,121,1750,1.6001
DQN (ours),52,122,1778,0.9851
DQN (ours),52,123,1848,8.7336
DQN (ours),52,124,1848,20.9783
DQN (ours),52,125,1862,21.2016
DQN (ours),52,126,1876,7.1180
DQN (ours),52,127,1890,9.7546
DQN (ours),52,128,1904,2.8505
DQN (ours),52,129,1932,4.3614
DQN (ours),52,130,1932,10.0285
DQN (ours),52,131,1932,8.8471
DQN (ours),52,132,1960,20.1123
DQN (ours),52,133,1960,25.0707
DQN (ours),52,134,1974,22.2249
DQN (ours),52,135,1974,1.7649
DQN (ours),52,136,2002,1.7953
DQN (ours),52,137,2016,1.7953
DQN (ours),52,138,2016,16.9653
DQN (ours),52,139,2016,13.2523
DQN (ours),52,140,2016,15.3544
DQN (ours),52,141,2072,11.8033
DQN (ours),52,142,2100,4.7788
DQN (ours),52,143,2114,19.5451
DQN (ours),52,144,2142,13.7310
DQN (ours),52,145,2142,14.9513
DQN (ours),52,146,2156,7.3891
DQN (ours),52,147,2170,2.5661
DQN (ours),52,148,2198,13.7021
DQN (ours),52,149,2226,8.8599
DQN (ours),52,150,2254,5.8020
DQN (ours),52,151,2282,17.4732
DQN (ours),52,152,2296,4.6013
DQN (ours),52,153,2296,1.9602
DQN (ours),52,154,2296,17.0972
DQN (ours),52,155,2296,22.7414
DQN (ours),52,156,2310,0.9205
DQN (ours),52,157,2324,5.5934
DQN (ours),52,158,2324,17.6544
DQN (ours),52,159,2352,20.4545
DQN (ours),52,160,2380,20.4545
DQN (ours),52,161,2380,4.4513
DQN (ours),52,162,2422,5.9990
DQN (ours),52,163,2422,5.2053
DQN (ours),52,164,2436,20.4545
DQN (ours),52,165,2450,17.5899
DQN (ours),52,166,2464,1.6023
DQN (ours),52,167,2478,9.2525
DQN (ours),52,168,2492,6.0086
DQN (ours),52,169,2506,8.2031
DQN (ours),52,170,2506,4.5912
DQN (ours),52,171,2548,3.5603
DQN (ours),52,172,2548,11.6514
DQN (ours),52,173,2562,21.5916
DQN (ours),52,174,2576,21.4806
DQN (ours),52,175,2590,21.3646
DQN (ours),52,176,2590,9.7549
DQN (ours),52,177,2604,2.1960
DQN (ours),52,178,2632,2.7943
DQN (ours),52,179,2632,12.9356
DQN (ours),52,180,2646,2.9137
DQN (ours),52,181,2674,3.8020
DQN (ours),52,182,2702,12.2076
DQN (ours),52,183,2716,8.8969
DQN (ours),52,184,2716,23.4665
DQN (ours),52,185,2716,21.3626
DQN (ours),52,186,2730,7.0033
DQN (ours),52,187,2744,4.7661
DQN (ours),52,188,2772,7.7616
DQN (ours),52,189,2786,13.2142
DQN (ours),52,190,2800,3.0548
DQN (ours),52,191,2800,7.4010
DQN (ours),52,192,2828,1.0019
DQN (ours),52,193,2856,3.7563
DQN (ours),52,194,2870,23.2286
DQN (ours),52,195,2884,21.4996
DQN (ours),52,196,2898,8.7929
DQN (ours),52,197,2898,11.2484
DQN (ours),52,198,2912,2.3993
DQN (ours),52,199,2926,20.6534
DQN (ours),52,200,2926,20.8125
DQN (ours),52,201,2940,1.7649
DQN (ours),52,202,2954,0.9660
DQN (ours),52,203,2968,5.3664
DQN (ours),52,204,2982,5.6011
DQN (ours),52,205,2982,9.1565
DQN (ours),52,206,3010,0.9660
DQN (ours),52,207,3024,5.2415
DQN (ours),52,208,3052,23.9925
DQN (ours),52,209,3066,7.7522
DQN (ours),52,210,3108,1.7840
DQN (ours),52,211,3122,23.7125
DQN (ours),52,212,3122,10.4873
DQN (ours),52,213,3122,18.1045
DQN (ours),52,214,3136,23.0289
DQN (ours),52,215,3136,0.9660
DQN (ours),52,216,3164,23.7202
DQN (ours),52,217,3178,7.7795
DQN (ours),52,218,3220,20.4545
DQN (ours),52,219,3234,4.8477
DQN (ours),52,220,3262,4.0034
DQN (ours),52,221,3276,12.0136
DQN (ours),52,222,3290,9.9972
DQN (ours),52,223,3318,22.9110
DQN (ours),52,224,3360,5.9787
DQN (ours),52,225,3360,11.3761
DQN (ours),52,226,3374,21.9332
DQN (ours),52,227,3388,25.4058
DQN (ours),52,228,3402,4.0016
DQN (ours),52,229,3402,21.3999
DQN (ours),52,230,3430,20.5739
DQN (ours),52,231,3430,8.6180
DQN (ours),52,232,3514,7.7965
DQN (ours),52,233,3514,8.4370
DQN (ours),52,234,3542,21.2833
DQN (ours),52,235,3542,14.5796
DQN (ours),52,236,3542,21.2413
DQN (ours),52,237,3570,7.6013
DQN (ours),52,238,3584,20.8480
DQN (ours),52,239,3640,22.5450
DQN (ours),52,240,3682,16.9184
DQN (ours),52,241,3710,21.0070
DQN (ours),52,242,3752,1.6001
DQN (ours),52,243,3752,11.6448
DQN (ours),52,244,3766,14.1878
DQN (ours),52,245,3780,20.9716
DQN (ours),52,246,3794,22.1859
DQN (ours),52,247,3822,21.8706
DQN (ours),52,248,3836,13.0649
DQN (ours),52,249,3850,20.5739
DQN (ours),52,250,3878,21.9609
DQN (ours),52,251,3892,16.1859
DQN (ours),52,252,3920,4.5970
DQN (ours),52,253,3920,3.2171
DQN (ours),52,254,3934,20.9580
DQN (ours),52,255,3934,20.4545
DQN (ours),52,256,3962,11.0847
DQN (ours),52,257,4046,6.7704
DQN (ours),52,258,4060,14.7382
DQN (ours),52,259,4060,21.4717
DQN (ours),52,260,4102,21.1254
DQN (ours),52,261,4144,12.5987
DQN (ours),52,262,4172,5.3743
DQN (ours),52,263,4172,20.5398
DQN (ours),52,264,4186,1.6001
DQN (ours),52,265,4200,23.8266
DQN (ours),52,266,4214,21.3671
DQN (ours),52,267,4242,21.2437
DQN (ours),52,268,4298,21.8457
DQN (ours),52,269,4312,3.5576
DQN (ours),52,270,4312,20.6512
DQN (ours),52,271,4340,20.8862
DQN (ours),52,272,4354,9.9260
DQN (ours),52,273,4354,23.4184
DQN (ours),52,274,4354,3.0488
DQN (ours),52,275,4354,15.0449
DQN (ours),52,276,4382,21.2013
DQN (ours),52,277,4396,3.8524
DQN (ours),52,278,4424,22.0584
DQN (ours),52,279,4452,7.7233
DQN (ours),52,280,4480,21.4346
DQN (ours),52,281,4480,4.7641
DQN (ours),52,282,4550,5.3942
DQN (ours),52,283,4578,12.2475
DQN (ours),52,284,4592,24.0531
DQN (ours),52,285,4606,20.4545
DQN (ours),52,286,4606,5.5399
DQN (ours),52,287,4620,20.4545
DQN (ours),52,288,4634,21.3942
DQN (ours),52,289,4676,13.5732
DQN (ours),52,290,4718,6.9553
DQN (ours),52,291,4732,8.1558
DQN (ours),52,292,4760,9.2868
DQN (ours),52,293,4760,22.2388
DQN (ours),52,294,4774,22.2446
DQN (ours),52,295,4774,21.3350
DQN (ours),52,296,4774,1.6000
DQN (ours),52,297,4774,21.4102
DQN (ours),52,298,4802,21.3095
DQN (ours),52,299,4802,13.7311
DQN (ours),52,300,4830,8.4094
DQN (ours),52,301,4830,2.4487
DQN (ours),52,302,4844,1.8555
DQN (ours),52,303,4844,19.6117
DQN (ours),52,304,4858,3.6559
DQN (ours),52,305,4858,4.0151
DQN (ours),52,306,4942,19.6459
DQN (ours),52,307,4942,6.1989
DQN (ours),52,308,4998,8.4436
DQN (ours),52,309,5040,5.5533
DQN (ours),52,310,5040,21.8833
DQN (ours),52,311,5054,21.9313
DQN (ours),52,312,5096,13.5719
DQN (ours),52,313,5096,1.7649
DQN (ours),52,314,5124,7.1547
DQN (ours),52,315,5138,23.1438
DQN (ours),52,316,5180,20.4545
DQN (ours),52,317,5180,22.0839
DQN (ours),52,318,5194,20.6909
DQN (ours),52,319,5222,21.8828
DQN (ours),52,320,5236,9.7658
DQN (ours),52,321,5250,9.1989
DQN (ours),52,322,5250,21.4180
DQN (ours),52,323,5264,7.3604
DQN (ours),52,324,5264,2.8466
DQN (ours),52,325,5264,20.9089
DQN (ours),52,326,5278,20.6534
DQN (ours),52,327,5292,11.2448
DQN (ours),52,328,5348,23.9687
DQN (ours),52,329,5362,11.5187
DQN (ours),52,330,5404,11.9572
DQN (ours),52,331,5418,2.5991
DQN (ours),52,332,5418,9.0420
DQN (ours),52,333,5446,8.4046
DQN (ours),52,334,5460,22.2345
DQN (ours),52,335,5502,4.5630
DQN (ours),52,336,5502,2.5661
DQN (ours),52,337,5530,6.0433
DQN (ours),52,338,5544,21.3198
DQN (ours),52,339,5558,10.8955
DQN (ours),52,340,5572,17.3034
DQN (ours),52,341,5600,22.2820
DQN (ours),52,342,5600,23.3514
DQN (ours),52,343,5614,20.5235
DQN (ours),52,344,5642,5.1607
DQN (ours),52,345,5656,14.7642
DQN (ours),52,346,5670,4.9275
DQN (ours),52,347,5670,8.6122
DQN (ours),52,348,5670,24.4965
DQN (ours),52,349,5684,24.7423
DQN (ours),52,350,5698,21.3731
DQN (ours),52,351,5698,9.3321
DQN (ours),52,352,5712,14.3318
DQN (ours),52,353,5726,2.9611
DQN (ours),52,354,5740,3.5576
DQN (ours),52,355,5768,7.9590
DQN (ours),52,356,5782,9.6649
DQN (ours),52,357,5782,15.7490
DQN (ours),52,358,5782,10.4120
DQN (ours),52,359,5838,9.0815
DQN (ours),52,360,5838,2.2841
DQN (ours),52,361,5866,7.3942
DQN (ours),52,362,5880,14.8854
DQN (ours),52,363,5880,12.2716
DQN (ours),52,364,5894,6.4912
DQN (ours),52,365,5908,11.4880
DQN (ours),52,366,5908,1.6023
DQN (ours),52,367,5908,3.9553
DQN (ours),52,368,5922,20.9047
DQN (ours),52,369,5950,2.3993
DQN (ours),52,370,6062,9.0062
DQN (ours),52,371,6090,20.4545
DQN (ours),52,372,6104,22.2794
DQN (ours),52,373,6118,22.1988
DQN (ours),52,374,6132,12.5970
DQN (ours),52,375,6132,18.9982
DQN (ours),52,376,6146,20.8106
DQN (ours),52,377,6160,1.5982
DQN (ours),52,378,6202,20.6909
DQN (ours),52,379,6202,2.7613
DQN (ours),52,380,6202,20.6570
DQN (ours),52,381,6202,1.7871
DQN (ours),52,382,6230,0.7989
DQN (ours),52,383,6258,9.7903
DQN (ours),52,384,6286,4.7583
DQN (ours),52,385,6300,21.3600
DQN (ours),52,386,6328,22.2714
DQN (ours),52,387,6328,20.4545
DQN (ours),52,388,6342,21.1924
DQN (ours),52,389,6342,7.6611
DQN (ours),52,390,6356,8.5660
DQN (ours),52,391,6370,20.4545
DQN (ours),52,392,6412,3.3635
DQN (ours),52,393,6412,9.8754
DQN (ours),52,394,6426,15.6964
DQN (ours),52,395,6454,9.9257
DQN (ours),52,396,6482,22.1907
DQN (ours),52,397,6496,4.5649
DQN (ours),52,398,6496,8.7587
DQN (ours),52,399,6524,9.6037
DQN (ours),52,400,6524,5.2035
DQN (ours),52,401,6524,1.8842
DQN (ours),52,402,6524,22.9570
DQN (ours),52,403,6538,9.6785
DQN (ours),52,404,6552,1.1962
DQN (ours),52,405,6552,21.0841
DQN (ours),52,406,6622,7.3134
DQN (ours),52,407,6622,15.6673
DQN (ours),52,408,6650,20.5739
DQN (ours),52,409,6720,23.3498
DQN (ours),52,410,6762,24.8857
DQN (ours),52,411,6790,14.0706
DQN (ours),52,412,6818,14.8626
DQN (ours),52,413,6832,22.4217
DQN (ours),52,414,6874,15.7993
DQN (ours),52,415,6874,20.9636
DQN (ours),52,416,6930,24.4387
DQN (ours),52,417,6944,21.5194
DQN (ours),52,418,6944,27.2828
DQN (ours),52,419,6972,25.2542
DQN (ours),52,420,6972,24.4928
DQN (ours),52,421,7014,10.6147
DQN (ours),52,422,7028,16.0289
DQN (ours),52,423,7042,3.3619
DQN (ours),52,424,7042,20.8819
DQN (ours),52,425,7070,21.0850
DQN (ours),52,426,7112,4.9590
DQN (ours),52,427,7126,4.7583
DQN (ours),52,428,7140,5.8293
DQN (ours),52,429,7154,1.7194
DQN (ours),52,430,7154,15.4902
DQN (ours),52,431,7168,1.9584
DQN (ours),52,432,7182,21.2081
DQN (ours),52,433,7210,20.5457
DQN (ours),52,434,7238,21.2378
DQN (ours),52,435,7252,21.8820
DQN (ours),52,436,7252,1.6000
DQN (ours),52,437,7294,5.8103
DQN (ours),52,438,7322,9.2776
DQN (ours),52,439,7350,21.4492
DQN (ours),52,440,7364,20.8988
DQN (ours),52,441,7364,23.6217
DQN (ours),52,442,7392,19.4088
DQN (ours),52,443,7392,21.8103
DQN (ours),52,444,7406,16.5109
DQN (ours),52,445,7420,17.4326
DQN (ours),52,446,7518,16.0975
DQN (ours),52,447,7518,10.8470
DQN (ours),52,448,7560,11.0078
DQN (ours),52,449,7574,9.4115
DQN (ours),52,450,7574,20.8834
DQN (ours),52,451,7602,20.7676
DQN (ours),52,452,7658,22.4314
DQN (ours),52,453,7672,21.9353
DQN (ours),52,454,7686,10.5594
DQN (ours),52,455,7714,23.1580
DQN (ours),52,456,7714,2.7591
DQN (ours),52,457,7728,1.9974
DQN (ours),52,458,7770,20.8804
DQN (ours),52,459,7784,22.1528
DQN (ours),52,460,7784,22.0340
DQN (ours),52,461,7812,22.0848
DQN (ours),52,462,7840,20.9739
DQN (ours),52,463,7896,11.7093
DQN (ours),52,464,7938,21.9182
DQN (ours),52,465,7938,19.6084
DQN (ours),52,466,7952,9.1633
DQN (ours),52,467,7980,20.8081
DQN (ours),52,468,7994,21.8066
DQN (ours),52,469,8022,6.5661
DQN (ours),52,470,8022,23.1109
DQN (ours),52,471,8134,21.2358
DQN (ours),52,472,8134,24.3089
DQN (ours),52,473,8148,21.0882
DQN (ours),52,474,8190,21.0161
DQN (ours),52,475,8204,22.4010
DQN (ours),52,476,8232,20.9718
DQN (ours),52,477,8232,10.4557
DQN (ours),52,478,8260,23.8311
DQN (ours),52,479,8358,9.1645
DQN (ours),52,480,8358,24.2217
DQN (ours),52,481,8358,24.9403
DQN (ours),52,482,8372,20.8556
DQN (ours),52,483,8400,21.4406
DQN (ours),52,484,8414,20.6883
DQN (ours),52,485,8414,2.5942
DQN (ours),52,486,8442,3.7563
DQN (ours),52,487,8442,20.8988
DQN (ours),52,488,8512,2.8444
DQN (ours),52,489,8526,5.0091
DQN (ours),52,490,8554,21.9846
DQN (ours),52,491,8554,21.9485
DQN (ours),52,492,8568,22.1456
DQN (ours),52,493,8596,9.5003
DQN (ours),52,494,8610,23.4398
DQN (ours),52,495,8652,22.1489
DQN (ours),52,496,8652,20.7637
DQN (ours),52,497,8666,15.1977
DQN (ours),52,498,8666,2.4034
DQN (ours),52,499,8666,3.3713
DQN (ours),52,500,8680,21.1468
DQN (ours),52,501,8736,11.6069
DQN (ours),52,502,8750,4.8046
DQN (ours),52,503,8778,21.0171
DQN (ours),52,504,8834,22.1853
DQN (ours),52,505,8862,21.6403
DQN (ours),52,506,8876,11.6028
DQN (ours),52,507,8918,1.9602
DQN (ours),52,508,8946,6.3602
DQN (ours),52,509,8946,21.8774
DQN (ours),52,510,8974,21.9476
DQN (ours),52,511,8974,23.2250
DQN (ours),52,512,8988,22.5104
DQN (ours),52,513,9058,7.5997
DQN (ours),52,514,9072,20.4545
DQN (ours),52,515,9086,22.5555
DQN (ours),52,516,9086,5.7669
DQN (ours),52,517,9086,4.8046
DQN (ours),52,518,9086,24.8480
DQN (ours),52,519,9100,23.7829
DQN (ours),52,520,9114,1.6023
DQN (ours),52,521,9156,1.7649
DQN (ours),52,522,9156,21.2350
DQN (ours),52,523,9170,21.0043
DQN (ours),52,524,9198,21.0005
DQN (ours),52,525,9268,10.1295
DQN (ours),52,526,9282,22.5746
DQN (ours),52,527,9310,18.5439
DQN (ours),52,528,9310,5.7925
DQN (ours),52,529,9366,21.4806
DQN (ours),52,530,9394,21.6457
DQN (ours),52,531,9478,22.7941
DQN (ours),52,532,9506,21.9217
DQN (ours),52,533,9506,21.6735
DQN (ours),52,534,9506,23.3128
DQN (ours),52,535,9520,21.0902
DQN (ours),52,536,9562,2.9971
DQN (ours),52,537,9576,21.8396
DQN (ours),52,538,9576,21.6758
DQN (ours),52,539,9590,21.2898
DQN (ours),52,540,9618,17.5257
DQN (ours),52,541,9632,3.2001
DQN (ours),52,542,9660,4.7583
DQN (ours),52,543,9688,22.4754
DQN (ours),52,544,9702,21.9923
DQN (ours),52,545,9730,21.9174
DQN (ours),52,546,9786,20.7727
DQN (ours),52,547,9814,23.4543
DQN (ours),52,548,9884,12.3705
DQN (ours),52,549,9898,20.8909
DQN (ours),52,550,9926,22.2039
DQN (ours),52,551,9926,23.0282
DQN (ours),52,552,9940,21.6410
DQN (ours),52,553,9982,8.6094
DQN (ours),52,554,9982,19.9867
DQN (ours),52,555,9996,20.5367
DQN (ours),52,556,9996,22.0830
DQN (ours),52,557,10010,3.9953
DQN (ours),52,558,10038,20.7049
DQN (ours),52,559,10108,10.5954
DQN (ours),52,560,10108,21.1965
DQN (ours),52,561,10122,23.4190
DQN (ours),52,562,10136,6.8921
DQN (ours),52,563,10150,21.9506
DQN (ours),52,564,10164,2.5661
DQN (ours),52,565,10164,9.3670
DQN (ours),52,566,10206,21.2592
DQN (ours),52,567,10290,14.8986
DQN (ours),52,568,10304,23.2184
DQN (ours),52,569,10318,21.6669
DQN (ours),52,570,10346,20.9803
DQN (ours),52,571,10388,13.5435
DQN (ours),52,572,10402,24.1017
DQN (ours),52,573,10402,22.5932
DQN (ours),52,574,10444,4.8027
DQN (ours),52,575,10458,21.2876
DQN (ours),52,576,10528,22.1506
DQN (ours),52,577,10556,20.5716
DQN (ours),52,578,10570,22.5133
DQN (ours),52,579,10584,22.1174
DQN (ours),52,580,10584,21.0489
DQN (ours),52,581,10612,3.9960
DQN (ours),52,582,10626,23.5790
DQN (ours),52,583,10626,18.1832
DQN (ours),52,584,10682,4.5633
DQN (ours),52,585,10682,2.7943
DQN (ours),52,586,10696,8.0020
DQN (ours),52,587,10724,14.0226
DQN (ours),52,588,10724,20.5716
DQN (ours),52,589,10738,21.7589
DQN (ours),52,590,10766,9.5572
DQN (ours),52,591,10808,24.1690
DQN (ours),52,592,10822,20.6891
